id,Currency,Actual,Pred
22,HKD,3.744,3.7577271
22,JPY,0.2722,0.2839774
22,KRW,0.02431,0.022896335
22,USD,30.17,30.249617
23,AUD,20.61,21.482347
23,CAD,21.49,22.525475
23,EUR,33.31,33.711258
23,GBP,36.89,39.081936
23,HKD,3.557,3.4962108
23,JPY,0.2665,0.25765288
23,KRW,0.02426,0.022913113
23,USD,28.39,28.237104
24,AUD,20.1,21.05046
24,CAD,21.6,22.009226
24,EUR,32.19,33.671856
24,GBP,36.98,38.89571
24,HKD,3.453,3.5153165
24,JPY,0.2457,0.25714612
24,KRW,0.02256,0.022875018
24,USD,27.665,28.39745
25,AUD,20.15,20.913055
25,CAD,22.51,22.92981
25,EUR,30.54,32.800602
25,GBP,35.29,38.333397
25,HKD,3.617,3.7049294
25,JPY,0.21,0.28299353
25,KRW,0.02134,0.020589814
25,USD,29.21,29.820831
26,AUD,21.38,21.885515
26,CAD,22.94,23.189665
26,EUR,31.09,32.353607
26,GBP,36.99,37.767326
26,HKD,3.567,3.6595583
26,JPY,0.2188,0.2652938
26,KRW,0.0219,0.021982476
26,USD,28.805,29.406216
27,AUD,20.41,21.164785
27,CAD,22.9,22.341806
27,EUR,32.98,33.69999
27,GBP,36.96,39.24296
27,HKD,3.802,3.4903579
27,JPY,0.2772,0.25952256
27,KRW,0.02414,0.02221603
27,USD,30.635,28.225155
28,AUD,19.65,20.32019
28,CAD,22.07,22.76779
28,EUR,32.21,33.040348
28,GBP,36.78,37.85256
28,HKD,3.769,3.8169403
28,JPY,0.2111,0.2829603
28,KRW,0.02146,0.022737712
28,USD,30.345,30.767275
29,AUD,20.27,20.829748
29,CAD,22.74,23.147135
29,EUR,30.44,32.724136
29,GBP,34.32,37.399014
29,HKD,3.888,3.882612
29,JPY,0.2108,0.27276963
29,KRW,0.02045,0.022971489
29,USD,31.35,31.222618
30,AUD,21.22,22.16464
30,CAD,22.67,23.048864
30,EUR,33.26,33.836246
30,GBP,38.38,38.503994
30,HKD,3.441,3.525084
30,JPY,0.2476,0.25594652
30,KRW,0.02306,0.023994498
30,USD,27.535,28.385641
31,AUD,20.15,20.954947
31,CAD,22.45,22.241592
31,EUR,30.47,33.682568
31,GBP,35.13,39.37348
31,HKD,3.638,3.4602764
31,JPY,0.2094,0.2632182
31,KRW,0.02112,0.021678753
31,USD,29.39,28.034664
32,AUD,19.15,20.471312
32,CAD,20.87,22.652338
32,EUR,31.87,32.557217
32,GBP,35.28,36.7374
32,HKD,3.709,3.7166698
32,JPY,0.2698,0.2688243
32,KRW,0.02245,0.023244724
32,USD,29.585,29.967972
33,AUD,19.98,20.953579
33,CAD,21.54,22.181906
33,EUR,31.93,33.29525
33,GBP,36.96,38.476513
33,HKD,3.409,3.5398638
33,JPY,0.242,0.25962758
33,KRW,0.0222,0.024019666
33,USD,27.335,28.594694
34,AUD,19.59,20.165915
34,CAD,21.3,22.356058
34,EUR,32.52,33.326424
34,GBP,35.79,38.450245
34,HKD,3.716,3.7061908
34,JPY,0.2708,0.276922
34,KRW,0.02255,0.022295557
34,USD,29.62,29.897493
35,AUD,18.96,21.073069
35,CAD,20.83,22.3575
35,EUR,31.53,33.022655
35,GBP,35.33,38.5748
35,HKD,3.701,3.5150197
35,JPY,0.2699,0.26063538
35,KRW,0.02256,0.022061773
35,USD,29.5,28.410566
36,AUD,20.55,21.025784
36,CAD,21.96,22.277983
36,EUR,32.35,33.113308
36,GBP,37.61,37.744507
36,HKD,3.448,3.5811753
36,JPY,0.2443,0.26064205
36,KRW,0.0227,0.024238579
36,USD,27.59,28.93686
37,AUD,19.76,20.651522
37,CAD,22.14,22.556997
37,EUR,31.72,33.252617
37,GBP,37.95,40.18408
37,HKD,3.705,3.6862855
37,JPY,0.2641,0.2826531
37,KRW,0.02361,0.020571567
37,USD,29.6,29.645046
38,AUD,19.99,20.972813
38,CAD,21.72,22.314888
38,EUR,31.5,33.224407
38,GBP,36.74,38.856506
38,HKD,3.433,3.5304596
38,JPY,0.2418,0.26179662
38,KRW,0.02174,0.023040801
38,USD,27.545,28.504807
39,AUD,19.68,19.698332
39,CAD,21.36,21.91913
39,EUR,30.84,32.789745
39,GBP,36.72,39.057358
39,HKD,3.41,3.6867535
39,JPY,0.2328,0.26855254
39,KRW,0.02164,0.022245467
39,USD,27.425,29.748932
40,AUD,21.32,21.418287
40,CAD,21.72,22.195198
40,EUR,34.04,33.92648
40,GBP,37.47,38.75334
40,HKD,3.52,3.479471
40,JPY,0.2662,0.25958452
40,KRW,0.02428,0.02228573
40,USD,28.1,28.132755
41,AUD,20.2,21.180798
41,CAD,23.0,23.513128
41,EUR,33.78,35.537403
41,GBP,39.07,41.43004
41,HKD,3.904,3.926535
41,JPY,0.2084,0.2848739
41,KRW,0.02231,0.022347428
41,USD,31.46,31.528435
42,AUD,19.4,20.652893
42,CAD,21.24,22.222916
42,EUR,30.68,32.836884
42,GBP,35.87,38.124527
42,HKD,3.407,3.559593
42,JPY,0.2364,0.25941876
42,KRW,0.02162,0.023107149
42,USD,27.4,28.7311
43,AUD,19.29,20.620972
43,CAD,21.98,22.746899
43,EUR,32.58,33.381508
43,GBP,37.25,38.984386
43,HKD,3.703,3.7473688
43,JPY,0.2687,0.27518392
43,KRW,0.02343,0.023364529
43,USD,29.63,30.185715
44,AUD,21.35,21.461685
44,CAD,21.94,22.58015
44,EUR,32.99,33.61451
44,GBP,37.73,38.39966
44,HKD,3.445,3.564576
44,JPY,0.2502,0.2625837
44,KRW,0.02339,0.023886457
44,USD,27.55,28.783016
45,AUD,21.7,21.856407
45,CAD,21.82,22.201494
45,EUR,33.47,34.050423
45,GBP,38.4,39.473064
45,HKD,3.495,3.497514
45,JPY,0.2588,0.2618914
45,KRW,0.02386,0.022823513
45,USD,27.91,28.215294
46,AUD,21.36,21.929478
46,CAD,22.21,22.391294
46,EUR,33.02,33.92164
46,GBP,37.81,39.348003
46,HKD,3.441,3.4755485
46,JPY,0.2472,0.2599651
46,KRW,0.02347,0.022827119
46,USD,27.53,28.032597
47,AUD,20.29,20.747475
47,CAD,22.47,22.746033
47,EUR,32.77,33.13592
47,GBP,38.2,38.752625
47,HKD,3.74,3.6935642
47,JPY,0.2693,0.2731751
47,KRW,0.02411,0.02301877
47,USD,30.1,29.744278
48,AUD,20.68,21.23956
48,CAD,22.78,22.997904
48,EUR,30.62,32.642323
48,GBP,35.69,37.951077
48,HKD,3.612,3.706566
48,JPY,0.2121,0.26392138
48,KRW,0.02157,0.023396224
48,USD,29.18,29.85657
49,AUD,20.43,20.849468
49,CAD,22.06,22.850723
49,EUR,31.61,32.393616
49,GBP,36.54,37.183346
49,HKD,3.795,3.800109
49,JPY,0.2143,0.27678147
49,KRW,0.02181,0.022697955
49,USD,30.315,30.553368
50,AUD,20.46,21.524815
50,CAD,22.0,22.437008
50,EUR,32.27,33.388695
50,GBP,37.31,38.607845
50,HKD,3.445,3.5104697
50,JPY,0.2415,0.25751698
50,KRW,0.02289,0.023647062
50,USD,27.58,28.30104
51,AUD,20.16,21.472668
51,CAD,21.35,22.753574
51,EUR,33.2,33.652596
51,GBP,36.08,39.307873
51,HKD,3.616,3.493379
51,JPY,0.2676,0.26266852
51,KRW,0.02316,0.022478081
51,USD,28.84,28.255014
52,AUD,19.99,21.040525
52,CAD,21.36,22.158346
52,EUR,31.84,33.747887
52,GBP,37.08,38.640453
52,HKD,3.405,3.5304165
52,JPY,0.2424,0.25658137
52,KRW,0.02185,0.023609608
52,USD,27.305,28.551332
53,AUD,20.09,20.696548
53,CAD,22.08,22.946426
53,EUR,33.11,34.659794
53,GBP,37.27,40.680283
53,HKD,3.76,3.7954717
53,JPY,0.2172,0.28263444
53,KRW,0.02127,0.021601953
53,USD,30.345,30.53813
54,AUD,20.45,20.545435
54,CAD,22.8,22.911732
54,EUR,33.16,33.42027
54,GBP,36.94,37.178642
54,HKD,3.803,3.8003423
54,JPY,0.2803,0.2738748
54,KRW,0.02404,0.024058908
54,USD,30.65,30.667841
55,AUD,20.26,21.613577
55,CAD,22.54,22.742504
55,EUR,32.29,32.443634
55,GBP,37.36,38.059067
55,HKD,3.763,3.601992
55,JPY,0.2109,0.26404348
55,KRW,0.02205,0.021960773
55,USD,30.32,28.99312
56,AUD,21.22,21.10963
56,CAD,21.7,22.1964
56,EUR,33.33,32.952553
56,GBP,37.58,36.717823
56,HKD,3.501,3.621455
56,JPY,0.2606,0.2503439
56,KRW,0.0237,0.025328986
56,USD,27.95,29.217709
57,AUD,20.49,21.21058
57,CAD,23.13,23.424105
57,EUR,33.61,35.131104
57,GBP,39.21,41.256958
57,HKD,3.832,3.885049
57,JPY,0.2145,0.2857712
57,KRW,0.0225,0.022399083
57,USD,30.83,31.189386
58,AUD,18.55,19.765396
58,CAD,21.28,22.08493
58,EUR,32.87,33.557938
58,GBP,36.71,39.12557
58,HKD,3.724,3.7120237
58,JPY,0.2753,0.2668099
58,KRW,0.02303,0.023810208
58,USD,29.74,29.96506
59,AUD,21.55,21.043682
59,CAD,21.8,22.334555
59,EUR,33.65,32.371075
59,GBP,37.8,38.035984
59,HKD,3.502,3.5868123
59,JPY,0.2643,0.26599377
59,KRW,0.02393,0.021773115
59,USD,27.96,28.91381
60,AUD,20.84,21.571075
60,CAD,23.04,22.8073
60,EUR,30.74,33.283756
60,GBP,35.85,38.67752
60,HKD,3.605,3.650122
60,JPY,0.2118,0.26569405
60,KRW,0.02176,0.02174671
60,USD,29.12,29.392868
61,AUD,20.3,21.522007
61,CAD,23.24,23.657063
61,EUR,31.17,33.23691
61,GBP,35.91,37.84889
61,HKD,3.945,3.9150438
61,JPY,0.2084,0.2835624
61,KRW,0.02097,0.023236625
61,USD,31.79,31.429344
62,AUD,20.32,20.923624
62,CAD,21.31,22.10302
62,EUR,33.26,33.65563
62,GBP,36.35,37.35775
62,HKD,3.576,3.6167781
62,JPY,0.2647,0.25360852
62,KRW,0.02316,0.025482863
62,USD,28.53,29.23111
63,AUD,19.21,20.770544
63,CAD,20.98,22.77503
63,EUR,31.89,33.274693
63,GBP,35.44,38.614174
63,HKD,3.703,3.7548535
63,JPY,0.2692,0.2746191
63,KRW,0.02266,0.02392812
63,USD,29.515,30.263474
64,AUD,19.44,20.478186
64,CAD,21.4,22.09937
64,EUR,30.73,32.742645
64,GBP,36.54,37.66878
64,HKD,3.417,3.601124
64,JPY,0.2325,0.26073816
64,KRW,0.02151,0.024131037
64,USD,27.485,29.121124
65,AUD,20.14,21.033016
65,CAD,23.06,23.673504
65,EUR,33.73,35.811485
65,GBP,39.43,42.463924
65,HKD,3.916,3.9422061
65,JPY,0.2104,0.28377932
65,KRW,0.02211,0.021752596
65,USD,31.53,31.648954
66,AUD,20.02,20.58267
66,CAD,21.36,21.885
66,EUR,32.89,33.571262
66,GBP,36.19,38.05676
66,HKD,3.571,3.6017625
66,JPY,0.267,0.25665185
66,KRW,0.02372,0.024842374
66,USD,28.49,29.11115
67,AUD,21.04,19.758745
67,CAD,22.47,21.872957
67,EUR,32.99,32.495102
67,GBP,38.17,38.287586
67,HKD,3.418,3.6951673
67,JPY,0.2432,0.26904282
67,KRW,0.02314,0.02308622
67,USD,27.34,29.840635
68,AUD,20.62,21.68774
68,CAD,21.99,22.785995
68,EUR,32.27,34.04854
68,GBP,37.43,39.62244
68,HKD,3.446,3.4636285
68,JPY,0.2437,0.25986335
68,KRW,0.02287,0.023264691
68,USD,27.585,28.020788
69,AUD,20.38,20.971684
69,CAD,22.55,23.209488
69,EUR,31.28,33.609367
69,GBP,36.04,39.366955
69,HKD,3.804,3.836846
69,JPY,0.2145,0.2895989
69,KRW,0.02158,0.021445632
69,USD,30.54,30.827864
70,AUD,20.9,22.020136
70,CAD,22.28,22.822084
70,EUR,32.76,33.695095
70,GBP,37.83,38.60365
70,HKD,3.405,3.4981863
70,JPY,0.242,0.2556379
70,KRW,0.023,0.023692675
70,USD,27.245,28.191519
71,AUD,20.52,21.885023
71,CAD,21.49,22.332426
71,EUR,33.45,33.89162
71,GBP,36.41,39.677925
71,HKD,3.652,3.502269
71,JPY,0.2687,0.26554525
71,KRW,0.02281,0.022615552
71,USD,29.12,28.24311
72,AUD,21.73,21.844988
72,CAD,21.93,22.27716
72,EUR,34.19,34.418747
72,GBP,37.55,38.143486
72,HKD,3.504,3.5377958
72,JPY,0.2669,0.2567121
72,KRW,0.0244,0.02471093
72,USD,27.98,28.599974
73,AUD,20.29,20.935448
73,CAD,22.07,22.774885
73,EUR,31.7,33.661343
73,GBP,35.5,38.528652
73,HKD,3.746,3.785062
73,JPY,0.2154,0.28611985
73,KRW,0.02177,0.021688566
73,USD,30.23,30.431831
74,AUD,20.47,21.197048
74,CAD,22.41,22.817049
74,EUR,30.37,32.102173
74,GBP,35.42,36.813007
74,HKD,3.544,3.650822
74,JPY,0.2181,0.25442418
74,KRW,0.0217,0.023293607
74,USD,28.645,29.387781
75,AUD,21.38,21.870293
75,CAD,21.73,22.172733
75,EUR,33.35,34.23281
75,GBP,37.77,38.96894
75,HKD,3.503,3.5058856
75,JPY,0.2597,0.25758153
75,KRW,0.0236,0.02308236
75,USD,27.97,28.292774
76,AUD,20.61,21.38914
76,CAD,22.05,22.725412
76,EUR,31.72,33.709267
76,GBP,35.75,38.98115
76,HKD,3.771,3.7315717
76,JPY,0.2265,0.27457643
76,KRW,0.0224,0.022253342
76,USD,30.31,29.999706
77,AUD,20.08,20.79839
77,CAD,22.93,23.240911
77,EUR,33.46,34.1143
77,GBP,38.8,38.67785
77,HKD,3.927,3.9302943
77,JPY,0.2079,0.27965856
77,KRW,0.02228,0.02505152
77,USD,31.605,31.642757
78,AUD,20.81,21.291721
78,CAD,21.65,22.008034
78,EUR,33.53,34.077736
78,GBP,37.31,38.5687
78,HKD,3.558,3.5806327
78,JPY,0.2667,0.2593875
78,KRW,0.02432,0.024812602
78,USD,28.39,28.88945
79,AUD,19.51,22.049782
79,CAD,21.4,22.574694
79,EUR,30.52,33.927036
79,GBP,36.38,39.591686
79,HKD,3.391,3.5346334
79,JPY,0.2296,0.26309425
79,KRW,0.02136,0.023081958
79,USD,27.26,28.473955
80,AUD,20.74,21.079136
80,CAD,21.9,22.786125
80,EUR,31.75,33.3431
80,GBP,35.91,39.111443
80,HKD,3.675,3.652531
80,JPY,0.2216,0.27238968
80,KRW,0.02264,0.021354288
80,USD,29.635,29.477205
81,AUD,20.76,21.493744
81,CAD,22.15,22.491945
81,EUR,32.31,33.37474
81,GBP,37.51,38.362175
81,HKD,3.437,3.5249448
81,JPY,0.2427,0.25489193
81,KRW,0.02294,0.023940139
81,USD,27.51,28.439857
82,AUD,20.97,21.256666
82,CAD,21.81,22.478363
82,EUR,33.94,34.701344
82,GBP,37.03,39.0859
82,HKD,3.648,3.6330304
82,JPY,0.269,0.26688132
82,KRW,0.02309,0.024548307
82,USD,29.09,29.320461
83,AUD,20.08,21.835455
83,CAD,22.42,22.869265
83,EUR,32.09,32.466362
83,GBP,37.0,38.092693
83,HKD,3.762,3.6107838
83,JPY,0.2114,0.2658855
83,KRW,0.02188,0.021568745
83,USD,30.325,29.036701
84,AUD,21.04,21.192942
84,CAD,22.41,22.538162
84,EUR,32.88,32.69204
84,GBP,37.95,36.626366
