id,Currency,Actual,Pred
22,HKD,3.744,3.7241325
22,JPY,0.2722,0.2686153
22,KRW,0.02431,0.023052104
22,USD,30.17,30.08984
23,AUD,20.61,20.556545
23,CAD,21.49,21.877714
23,EUR,33.31,32.5855
23,GBP,36.89,37.132553
23,HKD,3.557,3.4377408
23,JPY,0.2665,0.250024
23,KRW,0.02426,0.02200777
23,USD,28.39,27.477455
24,AUD,20.1,20.145933
24,CAD,21.6,21.432247
24,EUR,32.19,32.289993
24,GBP,36.98,37.193436
24,HKD,3.453,3.4573092
24,JPY,0.2457,0.24784401
24,KRW,0.02256,0.022879478
24,USD,27.665,27.649158
25,AUD,20.15,20.026083
25,CAD,22.51,22.491396
25,EUR,30.54,30.7076
25,GBP,35.29,35.49452
25,HKD,3.617,3.6402478
25,JPY,0.21,0.2154982
25,KRW,0.02134,0.0253253
25,USD,29.21,29.394157
26,AUD,21.38,21.205341
26,CAD,22.94,22.811066
26,EUR,31.09,30.946308
26,GBP,36.99,36.776985
26,HKD,3.567,3.5774815
26,JPY,0.2188,0.21822968
26,KRW,0.0219,0.020467233
26,USD,28.805,28.871214
27,AUD,20.41,20.365946
27,CAD,22.9,21.731583
27,EUR,32.98,32.206608
27,GBP,36.96,37.273796
27,HKD,3.802,3.448351
27,JPY,0.2772,0.24982728
27,KRW,0.02414,0.020827796
27,USD,30.635,27.560585
28,AUD,19.65,19.38641
28,CAD,22.07,22.207985
28,EUR,32.21,32.191063
28,GBP,36.78,37.01687
28,HKD,3.769,3.779302
28,JPY,0.2111,0.221091
28,KRW,0.02146,0.020489492
28,USD,30.345,30.445572
29,AUD,20.27,20.079666
29,CAD,22.74,22.535099
29,EUR,30.44,29.99847
29,GBP,34.32,33.134315
29,HKD,3.888,3.9058533
29,JPY,0.2108,0.21298888
29,KRW,0.02045,0.02130926
29,USD,31.35,31.482058
30,AUD,21.22,21.183914
30,CAD,22.67,22.82628
30,EUR,33.26,33.233746
30,GBP,38.38,37.927986
30,HKD,3.441,3.4500875
30,JPY,0.2476,0.24503148
30,KRW,0.02306,0.020771781
30,USD,27.535,27.530485
31,AUD,20.15,19.880226
31,CAD,22.45,21.302021
31,EUR,30.47,31.751509
31,GBP,35.13,36.6534
31,HKD,3.638,3.4181335
31,JPY,0.2094,0.24385442
31,KRW,0.02112,0.018334113
31,USD,29.39,27.444258
32,AUD,19.15,18.448088
32,CAD,20.87,21.110424
32,EUR,31.87,31.986692
32,GBP,35.28,35.139576
32,HKD,3.709,3.6808448
32,JPY,0.2698,0.26305297
32,KRW,0.02245,0.012592759
32,USD,29.585,29.4697
33,AUD,19.98,19.882734
33,CAD,21.54,21.930447
33,EUR,31.93,32.569263
33,GBP,36.96,37.957867
33,HKD,3.409,3.416671
33,JPY,0.242,0.24600537
33,KRW,0.0222,0.021315247
33,USD,27.335,27.386328
34,AUD,19.59,19.371204
34,CAD,21.3,21.371796
34,EUR,32.52,32.274242
34,GBP,35.79,35.86104
34,HKD,3.716,3.701594
34,JPY,0.2708,0.2610622
34,KRW,0.02255,0.02259741
34,USD,29.62,29.50269
35,AUD,18.96,19.860617
35,CAD,20.83,21.550987
35,EUR,31.53,31.114529
35,GBP,35.33,36.26154
35,HKD,3.701,3.4215486
35,JPY,0.2699,0.23402542
35,KRW,0.02256,0.017443553
35,USD,29.5,27.510162
36,AUD,20.55,22.017586
36,CAD,21.96,21.720592
36,EUR,32.35,32.229897
36,GBP,37.61,37.445217
36,HKD,3.448,3.443912
36,JPY,0.2443,0.24490303
36,KRW,0.0227,0.02411004
36,USD,27.59,27.48672
37,AUD,19.76,19.988413
37,CAD,22.14,21.914043
37,EUR,31.72,31.356224
37,GBP,37.95,37.31172
37,HKD,3.705,3.705437
37,JPY,0.2641,0.26083365
37,KRW,0.02361,0.021636762
37,USD,29.6,29.642298
38,AUD,19.99,19.929441
38,CAD,21.72,21.686317
38,EUR,31.5,31.536383
38,GBP,36.74,36.91177
38,HKD,3.433,3.4601946
38,JPY,0.2418,0.25104555
38,KRW,0.02174,0.017825674
38,USD,27.545,27.765158
39,AUD,19.68,18.828133
39,CAD,21.36,20.93116
39,EUR,30.84,31.303617
39,GBP,36.72,36.284855
39,HKD,3.41,3.7007267
39,JPY,0.2328,0.27092832
39,KRW,0.02164,0.021551872
39,USD,27.425,29.469975
40,AUD,21.32,21.956842
40,CAD,21.72,21.677614
40,EUR,34.04,33.749023
40,GBP,37.47,37.20873
40,HKD,3.52,3.5137742
40,JPY,0.2662,0.26140684
40,KRW,0.02428,0.017423917
40,USD,28.1,28.098585
41,AUD,20.2,20.064232
41,CAD,23.0,23.14745
41,EUR,33.78,33.880013
41,GBP,39.07,39.119164
41,HKD,3.904,3.9100983
41,JPY,0.2084,0.2149549
41,KRW,0.02231,0.029126383
41,USD,31.46,31.524937
42,AUD,19.4,19.4605
42,CAD,21.24,21.677067
42,EUR,30.68,30.71943
42,GBP,35.87,36.141575
42,HKD,3.407,3.435773
42,JPY,0.2364,0.24296519
42,KRW,0.02162,0.016439602
42,USD,27.4,27.537899
43,AUD,19.29,20.299496
43,CAD,21.98,22.733213
43,EUR,32.58,32.494076
43,GBP,37.25,38.33217
43,HKD,3.703,3.7373228
43,JPY,0.2687,0.26332557
43,KRW,0.02343,0.023899509
43,USD,29.63,30.073751
44,AUD,21.35,22.151096
44,CAD,21.94,21.81534
44,EUR,32.99,32.732517
44,GBP,37.73,37.495354
44,HKD,3.445,3.454142
44,JPY,0.2502,0.25126442
44,KRW,0.02339,0.023416344
44,USD,27.55,27.571455
45,AUD,21.7,21.573769
45,CAD,21.82,21.723166
45,EUR,33.47,33.131523
45,GBP,38.4,37.866344
45,HKD,3.495,3.4968581
45,JPY,0.2588,0.25515115
45,KRW,0.02386,0.020560067
45,USD,27.91,27.926273
46,AUD,21.36,21.28708
46,CAD,22.21,22.066559
46,EUR,33.02,32.955357
46,GBP,37.81,37.792416
46,HKD,3.441,3.451806
46,JPY,0.2472,0.24814269
46,KRW,0.02347,0.02038116
46,USD,27.53,27.604025
47,AUD,20.29,20.295494
47,CAD,22.47,22.474567
47,EUR,32.77,32.269875
47,GBP,38.2,38.013924
47,HKD,3.74,3.7007298
47,JPY,0.2693,0.26014516
47,KRW,0.02411,0.023134518
47,USD,30.1,29.565361
48,AUD,20.68,20.826042
48,CAD,22.78,22.837805
48,EUR,30.62,30.680857
48,GBP,35.69,35.768623
48,HKD,3.612,3.616136
48,JPY,0.2121,0.21784246
48,KRW,0.02157,0.023965336
48,USD,29.18,29.16477
49,AUD,20.43,20.384428
49,CAD,22.06,21.926811
49,EUR,31.61,31.21316
49,GBP,36.54,36.165543
49,HKD,3.795,3.7906322
49,JPY,0.2143,0.21460044
49,KRW,0.02181,0.01537468
49,USD,30.315,30.30732
50,AUD,20.46,20.439613
50,CAD,22.0,22.228758
50,EUR,32.27,32.389805
50,GBP,37.31,37.25579
50,HKD,3.445,3.44647
50,JPY,0.2415,0.243776
50,KRW,0.02289,0.018469423
50,USD,27.58,27.566416
51,AUD,20.16,20.48099
51,CAD,21.35,22.097767
51,EUR,33.2,31.74744
51,GBP,36.08,37.371246
51,HKD,3.616,3.4410517
51,JPY,0.2676,0.23446178
51,KRW,0.02316,0.019704891
51,USD,28.84,27.58692
52,AUD,19.99,20.379387
52,CAD,21.36,21.236258
52,EUR,31.84,31.92857
52,GBP,37.08,37.2045
52,HKD,3.405,3.409744
52,JPY,0.2424,0.24417011
52,KRW,0.02185,0.023110645
52,USD,27.305,27.27847
53,AUD,20.09,20.286121
53,CAD,22.08,22.256676
53,EUR,33.11,32.853836
53,GBP,37.27,37.02276
53,HKD,3.76,3.7719166
53,JPY,0.2172,0.21673596
53,KRW,0.02127,0.025035607
53,USD,30.345,30.454657
54,AUD,20.45,20.233742
54,CAD,22.8,23.232376
54,EUR,33.16,33.39613
54,GBP,36.94,36.76399
54,HKD,3.803,3.7879958
54,JPY,0.2803,0.27360752
54,KRW,0.02404,0.022489807
54,USD,30.65,30.518795
55,AUD,20.26,21.00253
55,CAD,22.54,22.068455
55,EUR,32.29,30.940014
55,GBP,37.36,36.25704
55,HKD,3.763,3.509636
55,JPY,0.2109,0.23248589
55,KRW,0.02205,0.019451007
55,USD,30.32,28.298695
56,AUD,21.22,21.48099
56,CAD,21.7,21.344631
56,EUR,33.33,33.0784
56,GBP,37.58,37.05108
56,HKD,3.501,3.4698858
56,JPY,0.2606,0.2521938
56,KRW,0.0237,0.017531602
56,USD,27.95,27.736448
57,AUD,20.49,20.51875
57,CAD,23.13,23.22219
57,EUR,33.61,33.754955
57,GBP,39.21,39.16862
57,HKD,3.832,3.8493555
57,JPY,0.2145,0.21805829
57,KRW,0.0225,0.027535537
57,USD,30.83,30.970476
58,AUD,18.55,18.685146
58,CAD,21.28,21.707106
58,EUR,32.87,33.456272
58,GBP,36.71,37.564903
58,HKD,3.724,3.7130244
58,JPY,0.2753,0.2785607
58,KRW,0.02303,0.021736002
58,USD,29.74,29.610846
59,AUD,21.55,20.307549
59,CAD,21.8,21.769484
59,EUR,33.65,30.768215
59,GBP,37.8,35.920273
59,HKD,3.502,3.4992564
59,JPY,0.2643,0.23349622
59,KRW,0.02393,0.017857928
59,USD,27.96,28.271315
60,AUD,20.84,20.463099
60,CAD,23.04,23.076801
60,EUR,30.74,31.085571
60,GBP,35.85,36.319084
60,HKD,3.605,3.6434712
60,JPY,0.2118,0.21903919
60,KRW,0.02176,0.025702057
60,USD,29.12,29.334862
61,AUD,20.3,20.2627
61,CAD,23.24,23.035273
61,EUR,31.17,30.977375
61,GBP,35.91,35.79992
61,HKD,3.945,3.948647
61,JPY,0.2084,0.20948938
61,KRW,0.02097,0.021943081
61,USD,31.79,31.831867
62,AUD,20.32,20.341545
62,CAD,21.31,21.634922
62,EUR,33.26,33.156895
62,GBP,36.35,36.105556
62,HKD,3.576,3.5865757
62,JPY,0.2647,0.26032653
62,KRW,0.02316,0.020230986
62,USD,28.53,28.526594
63,AUD,19.21,20.399017
63,CAD,20.98,22.678131
63,EUR,31.89,32.780804
63,GBP,35.44,38.254448
63,HKD,3.703,3.7502506
63,JPY,0.2692,0.26384953
63,KRW,0.02266,0.021941656
63,USD,29.515,30.223671
64,AUD,19.44,20.464785
64,CAD,21.4,21.194658
64,EUR,30.73,30.711948
64,GBP,36.54,36.512486
64,HKD,3.417,3.4187684
64,JPY,0.2325,0.2339026
64,KRW,0.02151,0.02543593
64,USD,27.485,27.4007
65,AUD,20.14,20.411852
65,CAD,23.06,23.037745
65,EUR,33.73,33.71081
65,GBP,39.43,39.110176
65,HKD,3.916,3.9218724
65,JPY,0.2104,0.21032894
65,KRW,0.02211,0.025294302
65,USD,31.53,31.605453
66,AUD,20.02,19.669455
66,CAD,21.36,21.5675
66,EUR,32.89,32.87205
66,GBP,36.19,36.107624
66,HKD,3.571,3.5743911
66,JPY,0.267,0.26236594
66,KRW,0.02372,0.019217707
66,USD,28.49,28.442648
67,AUD,21.04,19.198856
67,CAD,22.47,20.863058
67,EUR,32.99,31.414621
67,GBP,38.17,35.857998
67,HKD,3.418,3.701357
67,JPY,0.2432,0.27239993
67,KRW,0.02314,0.020957852
67,USD,27.34,29.502243
68,AUD,20.62,20.39121
68,CAD,21.99,22.238441
68,EUR,32.27,32.41258
68,GBP,37.43,37.63482
68,HKD,3.446,3.4443254
68,JPY,0.2437,0.24115135
68,KRW,0.02287,0.020895325
68,USD,27.585,27.566927
69,AUD,20.38,20.17205
69,CAD,22.55,22.519787
69,EUR,31.28,31.372862
69,GBP,36.04,36.09855
69,HKD,3.804,3.8184383
69,JPY,0.2145,0.21932152
69,KRW,0.02158,0.02444562
69,USD,30.54,30.67644
70,AUD,20.9,21.0112
70,CAD,22.28,22.548883
70,EUR,32.76,32.857735
70,GBP,37.83,37.627888
70,HKD,3.405,3.413272
70,JPY,0.242,0.24396393
70,KRW,0.023,0.020038538
70,USD,27.245,27.246723
71,AUD,20.52,21.489357
71,CAD,21.49,21.956701
71,EUR,33.45,32.745747
71,GBP,36.41,38.19051
71,HKD,3.652,3.4790769
71,JPY,0.2687,0.24767673
71,KRW,0.02281,0.02093907
71,USD,29.12,27.800299
72,AUD,21.73,22.22457
72,CAD,21.93,21.699633
72,EUR,34.19,33.73227
72,GBP,37.55,37.138073
72,HKD,3.504,3.499633
72,JPY,0.2669,0.26303017
72,KRW,0.0244,0.023114314
72,USD,27.98,27.908888
73,AUD,20.29,20.00525
73,CAD,22.07,22.187592
73,EUR,31.7,32.082256
73,GBP,35.5,35.830757
73,HKD,3.746,3.754215
73,JPY,0.2154,0.22190246
73,KRW,0.02177,0.027030066
73,USD,30.23,30.288416
74,AUD,20.47,20.44126
74,CAD,22.41,22.536602
74,EUR,30.37,30.6381
74,GBP,35.42,35.62333
74,HKD,3.544,3.561953
74,JPY,0.2181,0.22231394
74,KRW,0.0217,0.019880723
74,USD,28.645,28.768011
75,AUD,21.38,21.660412
75,CAD,21.73,21.875223
75,EUR,33.35,33.495983
75,GBP,37.77,37.800034
75,HKD,3.503,3.4973924
75,JPY,0.2597,0.26718655
75,KRW,0.0236,0.023579618
75,USD,27.97,27.835463
76,AUD,20.61,19.467297
76,CAD,22.05,22.555662
76,EUR,31.72,32.20973
